ReferenceSignature,QuestionedSignature,Centroids,Transitions,Ratios,BlackPixels,Normalized,Angles,NormalizedBlacks
R001,Q020,118.49894514298428,841.6376892701514,202.76514159040707,19544.048557041602,4248.918012652477,184.81074937695308,4.202017349887283
R001,Q041,63.21392251711643,572.9083696368905,163.52954147140872,9758.572282870071,3265.489006093634,81.77083649680166,2.6689351956426717
R001,Q062,169.60542444155493,561.7276920359187,162.24662472401693,13267.537563542075,25177.153604085972,149.8317872720047,2.789143271426509
R001,Q001,101.78899744078434,696.5134600278734,193.00456841845372,16727.096221400774,2801.3567326891193,150.99990266331957,3.601330113868075
R001,Q002,64.20280367709809,592.9418183936768,189.1597692959468,14661.435195778073,13539.342172004031,120.13948594678456,3.324900994712101
R001,Q003,183.95923461462868,766.6628985414645,203.69330388672725,14939.37572323556,3008.0628060913923,158.97477436972937,3.327759114186721
R001,Q004,110.19981851164728,680.5541859396649,188.1690016093653,13468.388842025612,7650.758818978285,104.9805153566356,3.320164866669551
R001,Q005,86.94250974063263,502.2758206404127,155.94059162074018,11039.114819585853,23694.427442261407,137.43309992428772,3.5444537724962393
R001,Q006,187.8030883665122,591.9518561504813,176.05799597178756,10675.366316899856,3348.8904977008783,145.521704779862,3.197337105244177
R001,Q007,57.3149195236284,568.730164489277,168.70211957483696,9837.088593684617,2013.8769152343496,129.51840116124882,3.0694685725704676
R001,Q008,175.56195487633417,599.443908968971,187.08781324187126,13548.949700991587,7985.8311728126055,156.651550962085,3.8485457932918212
R001,Q009,26.038433132583073,633.1326875150263,138.5745969982905,12963.649679006294,2910.8354749007153,100.76234126345749,2.734294370248108
R001,Q010,105.29007550571896,558.0600326129797,339.6553028854131,11192.54501889539,4080.7414737640993,136.73989346196134,3.248952259713383
R001,Q011,140.21412197064888,681.7756229141667,103.5541129457265,11979.969991615171,3853.958148763924,178.10155354374822,4.261564274836449
R001,Q012,155.7273257973693,708.2781939322995,93.527499030098,17923.09791860771,75239.09879703914,120.86752468230793,3.181962499872119
R001,Q013,108.25894882179486,475.4723966751382,160.00902764451882,8260.11682726098,1272.8496706539192,125.23920235153304,3.216679283483045
R001,Q014,96.34313675607619,664.2770506347483,183.38626891490097,14999.769264892044,1682.4882127869644,140.20058327608427,3.3045152320961004
R001,Q015,118.76868274086398,484.3284009842908,134.00840160832956,11614.233853337033,1145.5868577975448,136.57942411299726,3.1496811623963112
R001,Q016,165.92166826548,862.0377021917313,183.16330709656947,15988.67236514652,2018.1973934251614,177.29907341280975,3.544390882666632
R001,Q017,38.41874542459709,516.2896473879754,174.2577459344684,9077.121129521187,3399.103910517142,136.2643439848533,3.428911805527321
R001,Q018,139.2587519691312,570.2385465750276,167.3411369561409,10043.86658613106,1508.5085002613757,123.24465962442548,3.0302512776955313
R001,Q019,212.7815781499893,610.6291837113585,121.23180245249185,11666.629676131835,1463.0009910987026,157.02852420086452,4.132943086596764
R001,Q042,200.0124996093994,643.6590712481259,209.85090062302703,11926.690697758537,6155.690547665177,135.61517242114994,3.062012316985133
